"#551a8b","#551a8b","purple4","paars4"
"#9370db","#9370db","mediumpurple","middenpaars"
"#ab82ff","#ab82ff","mediumpurple1","middenpaars1"
"#9f79ee","#9f79ee","mediumpurple2","middenpaars2"
"#8968cd","#8968cd","mediumpurple3","middenpaars3"
"#5d478b","#5d478b","mediumpurple4","middenpaars4"
"#e6e6fa","#e6e6fa","lavender","lavendel"
"#fff0f5","#fff0f5","lavenderblush","lavendelblos"
"#eee0e5","#eee0e5","lavenderblush2","lavendelblos2"
"#cdc1c5","#cdc1c5","lavenderblush3","lavendelblos3"
"#8b8386","#8b8386","lavenderblush4","lavendelblos4"
"#9400d3","#9400d3","darkviolet","donkerviolet"
"#9932cc","#9932cc","darkorchid","donkerorgidee"
"#bf3eff","#bf3eff","darkorchid1","donkerorgidee1"
"#b23aee","#b23aee","darkorchid2","donkerorgidee2"
"#9a32cd","#9a32cd","darkorchid3","donkerorgidee3"
"#68228b","#68228b","darkorchid4","donkerorgidee4"
"#ba55d3","#ba55d3","mediumorchid","midenorgidee"
"#e066ff","#e066ff","mediumorchid1","midenorgidee1"
"#d15fee","#d15fee","mediumorchid2","midenorgidee2"
"#b452cd","#b452cd","mediumorchid3","midenorgidee3"
"#7a378b","#7a378b","mediumorchid4","midenorgidee4"
"#da70d6","#da70d6","orchid","orchidee"
"#ff83fa","#ff83fa","orchid1","orchidee1"
"#ee7ae9","#ee7ae9","orchid2","orchidee2"
"#cd69c9","#cd69c9","orchid3","orchidee3"
"#8b4789","#8b4789","orchid4","orchidee4"
"#dda0dd","#dda0dd","plum","pruim"
"#ffbbff","#ffbbff","plum1","pruim1"
"#eeaeee","#eeaeee","plum2","pruim2"
"#cd96cd","#cd96cd","plum3","pruim3"
"#8b668b","#8b668b","plum4","pruim4"
"#d8bfd8","#d8bfd8","thistle","distel"
"#ffe1ff","#ffe1ff","thistle1","distel1"
"#eed2ee","#eed2ee","thistle2","distel2"
"#cdb5cd","#cdb5cd","thistle3","distel3"
"#8b7b8b","#8b7b8b","thistle4","distel4"
"#ee82ee","#ee82ee","violet","violet"
"#ff00ff","#ff00ff","magenta","magenta"
"#ee00ee","#ee00ee","magenta2","magenta2"
"#cd00cd","#cd00cd","magenta3","magenta3"
"#8b008b","#8b008b","magenta4","magenta4"
"#8b008b","#8b008b","darkmagenta","donkermagenta"
"#c71585","#c71585","mediumvioletred","middenroodviolet"
"#b03060","#b03060","maroon","kastanjebruin"
"#ff34b3","#ff34b3","maroon1","kastanjebruin1"
"#ee30a7","#ee30a7","maroon2","kastanjebruin2"
"#cd2990","#cd2990","maroon3","kastanjebruin3"
"#8b1c62","#8b1c62","maroon4","kastanjebruin4"
"#d02090","#d02090","violetred","roodviolet"
"#ff3e96","#ff3e96","violetred1","roodviolet1"
"#ee3a8c","#ee3a8c","violetred2","roodviolet2"
"#cd3278","#cd3278","violetred3","roodviolet3"
"#8b2252","#8b2252","violetred4","roodviolet4"
"#ff1493","#ff1493","deeppink","dieproze"
"#ee1289","#ee1289","deeppink2","dieproze2"
"#cd1076","#cd1076","deeppink3","dieproze3"
"#8b0a50","#8b0a50","deeppink4","dieproze4"
"#ff69b4","#ff69b4","hotpink","warmroze"
"#ff6eb4","#ff6eb4","hotpink1","warmroze1"
"#ee6aa7","#ee6aa7","hotpink2","warmroze2"
"#cd6090","#cd6090","hotpink3","warmroze3"
"#8b3a62","#8b3a62","hotpink4","warmroze4"
"#db7093","#db7093","palevioletred","faalroodpaars"
"#ff82ab","#ff82ab","palevioletred1","faalroodpaars1"
"#ee799f","#ee799f","palevioletred2","faalroodpaars2"
"#cd6889","#cd6889","palevioletred3","faalroodpaars3"
"#8b475d","#8b475d","palevioletred4","faalroodpaars4"
"#ffb6c1","#ffb6c1","lightpink","lichtroze"
"#ffaeb9","#ffaeb9","lightpink1","lichtroze1"
"#eea2ad","#eea2ad","lightpink2","lichtroze2"
"#cd8c95","#cd8c95","lightpink3","lichtroze3"
"#8b5f65","#8b5f65","lightpink4","lichtroze4"
"#ffc0cb","#ffc0cb","pink","roze"
"#ffb5c5","#ffb5c5","pink1","roze1"
"#eea9b8","#eea9b8","pink2","roze2"
"#cd919e","#cd919e","pink3","roze3"
"#8b636c","#8b636c","pink4","roze4"
"#bc8f8f","#bc8f8f","rosybrown","oudroze"
"#ffc1c1","#ffc1c1","rosybrown1","oudroze1"
"#eeb4b4","#eeb4b4","rosybrown2","oudroze2"
"#cd9b9b","#cd9b9b","rosybrown3","oudroze3"
"#8b6969","#8b6969","rosybrown4","oudroze4"
"#ffe4e1","#ffe4e1","mistyrose","zachtroze"
"#eed5d2","#eed5d2","mistyrose2","zachtroze2"
"#cdb7b5","#cdb7b5","mistyrose3","zachtroze3"
"#8b7d7b","#8b7d7b","mistyrose4","zachtroze4"
"#f5deb3","#f5deb3","wheat","tarwe"
"#ffe7ba","#ffe7ba","wheat1","tarwe1"
"#eed8ae","#eed8ae","wheat2","tarwe2"
"#cdba96","#cdba96","wheat3","tarwe3"
"#8b7e66","#8b7e66","wheat4","tarwe4"
"#ffe4b5","#ffe4b5","moccasin","moccasin"
"#ffdead","#ffdead","navajowhite","navajowit"
"#eecfa1","#eecfa1","navajowhite2","navajowit2"
"#cdb38b","#cdb38b","navajowhite3","navajowit3"
"#8b795e","#8b795e","navajowhite4","navajowit4"
"#ffebcd","#ffebcd","blanchedalmond","gebleekteamandel"
"#ffefd5","#ffefd5","papayawhip",""
"#ffe4c4","#ffe4c4","bisque","bisquei"
"#eed5b7","#eed5b7","bisque2","bisquei2"
"#cdb79e","#cdb79e","bisque3","bisquei3"
"#8b7d6b","#8b7d6b","bisque4","bisquei4"
"#deb887","#deb887","burlywood","hardhout"
"#ffd39b","#ffd39b","burlywood1","hardhout1"
"#eec591","#eec591","burlywood2","hardhout2"
"#cdaa7d","#cdaa7d","burlywood3","hardhout3"
"#8b7355","#8b7355","burlywood4","hardhout4"
"#d2b48c","#d2b48c","tan","zand"
"#ffdab9","#ffdab9","peachpuff",""
"#eecbad","#eecbad","peachpuff2",""
